Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"R5,R8,R9,R7",R_0402_1005Metric,4,1k,
2,"R4,R3",R_0402_1005Metric,2,27,
3,U4,SOT-23,1,MCP1700x-330xxTT,
4,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
5,"C10,C9,C8,C6,C17,C3,C11,C2,C4,C7,C5",C_0402_1005Metric,11,0.1uF,
6,D2,LED_0603_1608Metric,1,LED_G,
7,"C16,C15",C_0402_1005Metric,2,33pF,
8,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
9,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
10,R6,R_0402_1005Metric,1,10k,
11,"C1,C12",C_0402_1005Metric,2,1uF,
12,"R1,R2",R_0402_1005Metric,2,5.1k,
13,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
14,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
15,"C13,C14",C_0603_1608Metric,2,10uF,
16,D3,LED_0603_1608Metric,1,LED,
17,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
18,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
